tradingday  instrumentid  jump               lbd                   eff                 hot                vol                 
----------  ------------  -----------------  --------------------  ------------------  -----------------  --------------------
20150804    AG00          -7.38095502932114  7.88161215196429e-07  0.0459363957597173  0.833060477787071  0.000504005510102205
20150804    AG06          -2.14906437484142  0.00010214487427671   0.0563725490196078  0.148464504328487  0.000682123010344821
20150804    AG12          -7.38095502932114  7.88161215196429e-07  0.0459363957597173  0.833060477787071  0.000504005510102205
20150804    AG13          -3.14047426815637  6.39539951544643e-07  0.0442530757486748  0.818426088277958  0.000512529354653128
20150804    AL00          -2.53975908472065  3.70001858932781e-06  0.0509803921568627  0.107166382618863  0.000466791220599822
20150804    AL09          -2.25788711187139  5.03097739778871e-06  0.0524193548387097  0.061443290258428  0.000571032416836111
20150804    AL10          -2.53975908472065  3.70001858932781e-06  0.0509803921568627  0.107166382618863  0.000466791220599822
20150804    AL11          -2.07378304017364  8.61105945276649e-06  0.0504201680672269  0.105616860232342  0.000555840102814731
20150804    AL13          -2.25452636658714  2.20692550923984e-06  0.0596059362812138  0.087329967167187  0.000346721082102373
20150804    AU00          -5.49588566224513  2.39351749879116e-06  0.0278745644599298  0.449160952617658  0.000341722228005987
20150804    AU12          -5.49588566224513  2.39351749879116e-06  0.0278745644599298  0.449160952617658  0.000341722228005987
20150804    AU13          -4.37384885229174  1.61096352874776e-06  0.0285456698898687  0.447139626717068  0.000335020659417915
20150804    AU30          0.80570531188932   1.18069057424699e-08  0.104432278502661   0.622273090780674  0.000260195104720441
20150804    AU31          -2.0840887956478   2.94741578448327e-08  0.0875724050841432  0.676553535355114  0.000296429684599473
20150804    AU32          -4.40793711359741  1.18604045116625e-06  0.0488195451299494  0.32859860448137   0.000320362133611781
20150804    AU33          -0.14135104715984  9.58469527780957e-08  0.075736903338725   1.17629883341501   0.000655421692864036
20150804    AU34          -0.72470732292462  7.94087874765085e-08  0.0659271247780246  0.496658599399678  0.000283344798875642
20150804    AU35          -2.8966246769208   1.1087508145202e-07   0.0548629526754343  0.477989825277705  0.000431381368835956
20150804    AX00          -2.35312918691513  2.84010405571891e-06  0.0559701492537313  0.467175230551128  0.000498220204562769
20150804    AX01          -2.35312918691513  2.84010405571891e-06  0.0559701492537313  0.467175230551128  0.000498220204562769
20150804    AX13          -2.61248079325884  2.21442260229381e-06  0.0632148006794483  0.374793378648005  0.000454390992015968
20150804    AY09          -0.66572230538286  1.11520626957524e-05  0.0821052631578947  0.14267406406924   0.00053939258415637 
20150804    BUX00         -4.92641247599227  1.19531975587119e-05  0.0613207547169811  1.25580735018594   0.00113294032337737 
20150804    BUX13         -3.78781078149912  9.93311956555705e-06  0.0663073552016226  1.20374195302624   0.000965389978868873
20150804    BUY09         -4.92641247599227  1.19531975587119e-05  0.0613207547169811  1.25580735018594   0.00113294032337737 
20150804    C00           -0.51637687894601  1.2233041331304e-06   0.0095238095238095  0.141568291798933  0.000662716916841422
20150804    C01           -0.51637687894601  1.2233041331304e-06   0.0095238095238095  0.141568291798933  0.000662716916841422
20150804    C05           -2.26973724238617  2.14299660348674e-06  0.0112359550561798  0.116553629164529  0.000618294348284385
20150804    C09           -3.19971347948851  9.81186411837782e-07  0.0792079207920792  0.14369533026705   0.000525601594011442
20150804    C13           -3.47912896519587  3.76528040416952e-07  0.0186529619298692  0.136029398327247  0.000486703204459358
20150804    CF00          -4.1597828945484   1.35836091023353e-06  0.0137931034482759  0.206081279888538  0.000487074671882851
20150804    CF01          -4.1597828945484   1.35836091023353e-06  0.0137931034482759  0.206081279888538  0.000487074671882851
20150804    CF05          -4.56687511074939  1.03160623914291e-05  0.0476190476190476  0.049826500635027  0.000699405706726436
20150804    CF09          -6.69365020214578  6.70210427364587e-06  0.0677966101694915  0.12360363453997   0.000576279393983571
20150804    CF13          -2.72015430772015  1.19533292679382e-06  0.0259411112747334  0.177304021910537  0.000429051927145474
20150804    CS00          -5.20525130543329  8.59233554192818e-06  0.0650406504065041  0.286660035589524  0.000701095769636256
20150804    CS01          -5.20525130543329  8.59233554192818e-06  0.0650406504065041  0.286660035589524  0.000701095769636256
20150804    CS13          -2.42977707683907  6.0156860293101e-06   0.0482381161223338  0.218164315407598  0.000553147247145484
20150804    CU00          -0.84910763128744  2.6083956651081e-06   0.0429447852760736  0.603220066094689  0.000627221968376646
20150804    CU01          -1.65570774067932  1.18082388117119e-05  0.0509259259259259  0.205165901022639  0.00069974516676052 
20150804    CU02          -0.23396112171674  3.12794331737939e-05  0.0513347022587269  0.125588933175506  0.000770599775584532
20150804    CU08          -1.00035699734902  6.35432937091186e-06  0.043859649122807   0.225444703258341  0.000659130001759158
20150804    CU09          -1.74486722980733  6.55060522357991e-06  0.0480109739368999  0.462319079019621  0.000571133115714078
20150804    CU10          -0.84910763128744  2.6083956651081e-06   0.0429447852760736  0.603220066094689  0.000627221968376646
20150804    CU11          -2.50571302600073  5.58175465165845e-06  0.0467289719626168  0.308113055422712  0.000617018489712068
20150804    CU12          -2.55748220529203  1.05251076242667e-05  0.0414285714285714  0.239959914217626  0.000602061978795031
20150804    CU13          -1.9626784529698   1.36294382963954e-06  0.0484595509649101  0.446286019219084  0.000537288403441396
20150804    FG00          -7.61306061740801  2.89569940233022e-06  0.0362694300518135  0.653782324645937  0.000911674193040137
20150804    FG01          -4.82492546960815  3.14628650540098e-06  0.0526315789473684  0.385494700252385  0.000811580340549814
20150804    FG09          -7.61306061740801  2.89569940233022e-06  0.0362694300518135  0.653782324645937  0.000911674193040137
